0.000000E+0	-6.309180E+1
3.906250E+0	-6.649010E+1
7.812500E+0	-7.780810E+1
1.171880E+1	-9.955640E+1
1.562500E+1	-1.010140E+2
1.953130E+1	-1.054890E+2
2.343750E+1	-1.043660E+2
2.734380E+1	-1.034070E+2
3.125000E+1	-9.996210E+1
3.515630E+1	-9.952110E+1
3.906250E+1	-1.013320E+2
4.296880E+1	-9.945060E+1
4.687500E+1	-9.674010E+1
5.078130E+1	-9.747500E+1
5.468750E+1	-9.893320E+1
5.859380E+1	-9.930360E+1
6.250000E+1	-1.007090E+2
6.640630E+1	-1.044070E+2
7.031250E+1	-1.065820E+2
7.421880E+1	-1.058590E+2
7.812500E+1	-1.060180E+2
8.203130E+1	-1.084760E+2
8.593750E+1	-1.137550E+2
8.984380E+1	-1.259910E+2
9.375000E+1	-1.168770E+2
9.765630E+1	-1.137790E+2
1.015630E+2	-1.139200E+2
1.054690E+2	-1.101450E+2
1.093750E+2	-1.075880E+2
1.132810E+2	-1.037130E+2
1.171880E+2	-1.000270E+2
1.210940E+2	-9.977980E+1
1.250000E+2	-1.049180E+2
1.289060E+2	-1.058420E+2
1.328130E+2	-9.605810E+1
1.367190E+2	-9.377100E+1
1.406250E+2	-9.925070E+1
1.445310E+2	-1.067940E+2
1.484380E+2	-9.978570E+1
1.523440E+2	-1.015850E+2
1.562500E+2	-1.139320E+2
1.601560E+2	-1.085870E+2
1.640630E+2	-1.135440E+2
1.679690E+2	-1.101870E+2
1.718750E+2	-1.072760E+2
1.757810E+2	-1.073350E+2
1.796880E+2	-1.074230E+2
1.835940E+2	-1.161720E+2
1.875000E+2	-1.156960E+2
1.914060E+2	-1.105980E+2
1.953130E+2	-1.077640E+2
1.992190E+2	-1.069590E+2
2.031250E+2	-1.172540E+2
2.070310E+2	-1.169360E+2
2.109380E+2	-1.146610E+2
2.148440E+2	-1.031960E+2
2.187500E+2	-1.010140E+2
2.226560E+2	-1.022610E+2
2.265630E+2	-1.041780E+2
2.304690E+2	-1.099690E+2
2.343750E+2	-1.177060E+2
2.382810E+2	-1.139140E+2
2.421880E+2	-1.075520E+2
2.460940E+2	-1.057590E+2
2.500000E+2	-1.070590E+2
2.539060E+2	-1.139790E+2
2.578130E+2	-1.216630E+2
2.617190E+2	-1.107270E+2
2.656250E+2	-1.020900E+2
2.695310E+2	-1.009030E+2
2.734380E+2	-1.011670E+2
2.773440E+2	-1.019850E+2
2.812500E+2	-1.034190E+2
2.851560E+2	-1.072470E+2
2.890630E+2	-1.107920E+2
2.929690E+2	-1.090990E+2
2.968750E+2	-1.086810E+2
3.007810E+2	-1.190760E+2
3.046880E+2	-1.131790E+2
3.085940E+2	-1.098100E+2
3.125000E+2	-1.124320E+2
3.164060E+2	-1.194580E+2
3.203130E+2	-1.146020E+2
3.242190E+2	-1.112040E+2
3.281250E+2	-1.094100E+2
3.320310E+2	-1.099220E+2
3.359380E+2	-1.115980E+2
3.398440E+2	-1.165190E+2
3.437500E+2	-1.111100E+2
3.476560E+2	-1.061880E+2
3.515630E+2	-1.107860E+2
3.554690E+2	-1.120330E+2
3.593750E+2	-1.039900E+2
3.632810E+2	-1.051130E+2
3.671880E+2	-1.101510E+2
3.710940E+2	-1.111860E+2
3.750000E+2	-1.092280E+2
3.789060E+2	-1.105220E+2
3.828130E+2	-1.107800E+2
3.867190E+2	-1.118620E+2
3.906250E+2	-1.183770E+2
3.945310E+2	-1.186290E+2
3.984380E+2	-1.160660E+2
4.023440E+2	-1.222340E+2
4.062500E+2	-1.169950E+2
4.101560E+2	-1.120620E+2
4.140630E+2	-1.117740E+2
4.179690E+2	-1.079230E+2
4.218750E+2	-1.083050E+2
4.257810E+2	-1.051600E+2
4.296880E+2	-7.563270E+1
4.335940E+2	-5.954640E+1
4.375000E+2	-5.216770E+1
4.414060E+2	-5.167970E+1
4.453130E+2	-5.797070E+1
4.492190E+2	-7.255190E+1
4.531250E+2	-9.892730E+1
4.570310E+2	-1.083930E+2
4.609380E+2	-1.212690E+2
4.648440E+2	-1.242860E+2
4.687500E+2	-1.185410E+2
4.726560E+2	-1.144550E+2
4.765630E+2	-1.132030E+2
4.804690E+2	-1.133670E+2
4.843750E+2	-1.160540E+2
4.882810E+2	-1.149840E+2
4.921880E+2	-1.115270E+2
4.960940E+2	-1.074110E+2
5.000000E+2	-1.062410E+2
5.039060E+2	-1.091110E+2
5.078130E+2	-1.095280E+2
5.117190E+2	-1.100450E+2
5.156250E+2	-1.120800E+2
5.195310E+2	-1.144490E+2
5.234380E+2	-1.119680E+2
5.273440E+2	-1.103450E+2
5.312500E+2	-1.114210E+2
5.351560E+2	-1.107860E+2
5.390630E+2	-1.124680E+2
5.429690E+2	-1.209050E+2
5.468750E+2	-1.132560E+2
5.507810E+2	-1.053420E+2
5.546880E+2	-1.043890E+2
5.585940E+2	-1.078410E+2
5.625000E+2	-1.138260E+2
5.664060E+2	-1.225450E+2
5.703130E+2	-1.244800E+2
5.742190E+2	-1.187120E+2
5.781250E+2	-1.206930E+2
5.820310E+2	-1.218870E+2
5.859380E+2	-1.340810E+2
5.898440E+2	-1.313350E+2
5.937500E+2	-1.221100E+2
5.976560E+2	-1.189470E+2
6.015630E+2	-1.224040E+2
6.054690E+2	-1.315110E+2
6.093750E+2	-1.280950E+2
6.132810E+2	-1.187410E+2
6.171880E+2	-1.169480E+2
6.210940E+2	-1.183770E+2
6.250000E+2	-1.263900E+2
6.289060E+2	-1.233680E+2
6.328130E+2	-1.158130E+2
6.367190E+2	-1.152490E+2
6.406250E+2	-1.172540E+2
6.445310E+2	-1.228570E+2
6.484380E+2	-1.363910E+2
6.523440E+2	-1.231800E+2
6.562500E+2	-1.293360E+2
6.601560E+2	-1.275310E+2
6.640630E+2	-1.202230E+2
6.679690E+2	-1.191350E+2
6.718750E+2	-1.262200E+2
6.757810E+2	-1.196170E+2
6.796880E+2	-1.160130E+2
6.835940E+2	-1.176480E+2
6.875000E+2	-1.178470E+2
6.914060E+2	-1.151140E+2
6.953130E+2	-1.178830E+2
6.992190E+2	-1.363910E+2
7.031250E+2	-1.201400E+2
7.070310E+2	-1.161130E+2
7.109380E+2	-1.175480E+2
7.148440E+2	-1.305650E+2
7.187500E+2	-1.164890E+2
7.226560E+2	-1.142430E+2
7.265630E+2	-1.129150E+2
7.304690E+2	-1.126320E+2
7.343750E+2	-1.134610E+2
7.382810E+2	-1.125740E+2
7.421880E+2	-1.129030E+2
7.460940E+2	-1.152130E+2
7.500000E+2	-1.144370E+2
7.539060E+2	-1.126030E+2
7.578130E+2	-1.126620E+2
7.617190E+2	-1.168360E+2
7.656250E+2	-1.249910E+2
7.695310E+2	-1.228570E+2
7.734380E+2	-1.208990E+2
7.773440E+2	-1.206520E+2
7.812500E+2	-1.201230E+2
7.851560E+2	-1.194880E+2
